Aikaleima,käyttäjänimi,Arvo,Kysymys
7.6.2020 5:00,123098,3,Tänään heräsin täynnä energiaa
7.6.2020 5:00,98123,1,Tänään heräsin täynnä energiaa
7.6.2020 5:01,234789,5,Tänään heräsin täynnä energiaa
7.6.2020 5:02,345876,3,Tänään heräsin täynnä energiaa
7.6.2020 5:02,543567,4,Tänään heräsin täynnä energiaa
7.6.2020 5:03,333666,3,Tänään heräsin täynnä energiaa
7.6.2020 5:04,678876,2,Tänään heräsin täynnä energiaa
7.6.2020 5:05,999777,2,Tänään heräsin täynnä energiaa
7.6.2020 5:00,123098,5,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:00,98123,2,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:01,234789,4,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:02,345876,4,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:02,543567,5,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:03,333666,4,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:04,678876,3,Minulla on suunnitelmia ensi viikonlopulle
7.6.2020 5:05,999777,1,Minulla on suunnitelmia ensi viikonlopulle
