Nimimerkki,Tunnen itseni onnelliseksi,Nukuin riittavasti viime yona,Koen usein rauhan tunnetta,Tunnen useamman kerran paivassa iloa tyytyvaisyytta tai merkityksellisyytta,Minulla on aikaa laheisilleni ystavilleni ja muille tutuilleni,Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,Tunnen hallitsevani omaa elamaani,Tiesin aamulla mita tulen tekemaan paivan aikana,Tunnen etta voin hyvin,Soin eilen terveellista ruokaa,Pystyn nauttimaan elaman pienista asioista,Nousin aamulla reippaasti sangysta ylos,Laheisimmat ihmissuhteeni tuovat minulle onnellisuuden tunnetta,Tulen hyvin toimeen lahimman esimieheni kanssa,Tunnen itseni kiireiseksi,Aikani tulee riittamaan paivan aikana hyvin kaikkeen,Minulla ei ole fyysisia kipuja,Olin eilen fyysisesti aktiivinen,Arjen elamani tuo turvallisuuden tunnetta,Paivani sujuu hyvin,Viihdyn hyvin itsekseni.,Tanaan olen  yksin kotona.,Olen luottavainen tulevaisuuden suhteen,Minulta liikenee aikaa myos rentoutumiseen
123098,4,3,3,4,3,4,4,4,4,3,5,5,5,5,5,3,3,4,5,5,5,1,4,4
9253,4,5,4,4,5,4,3,3,3,3,4,5,5,2,3,4,4,5,4,5,4,1,4,4
222426,4,1,3,3,5,4,3,4,4,4,,,5,2,4,5,5,5,1,4,5,5,4,5
145789,4,4,3,4,5,3,4,4,2,4,4,4,4,2,4,5,2,5,4,2,5,5,4,5
21084,4,2,4,5,3,1,3,4,4,2,4,4,5,4,,,4,4,4,2,4,5,4,4
7968,5,4,4,4,4,4,5,3,4,4,5,3,5,4,2,5,4,5,5,4,5,1,,
2905,4,2,4,5,4,2,3,4,3,3,,,5,4,4,2,,,4,3,,,3,4
29,3,3,4,3,4,3,4,4,4,2,5,3,4,3,2,5,5,2,4,4,5,5,4,5
1500,3,2,3,3,4,4,3,3,3,3,4,4,3,3,3,3,4,1,3,3,4,2,1,3
369369,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,1,4,2,,,,,4,2
290520,3,4,4,4,,,1,3,4,2,4,1,,,,,2,4,,,,,4,3
907,1,1,1,2,4,4,,,1,3,,,5,5,5,3,5,2,5,4,5,2,2,2
34725,4,4,3,4,4,3,,,,,4,4,4,5,4,2,3,2,,,3,2,4,4
7469,2,2,,,,,,,,,,,,,,,,,,,,,,
704,,,,,,,3,4,,,,,,,,,,,,,,,,
