Nimimerkki,Tunnen itseni onnelliseksi,Nukuin riittavasti viime yona,Koen usein rauhan tunnetta,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta","Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,Tunnen hallitsevani omaa elamaani,"Tiesin aamulla, mita tulen tekemaan paivan aikana",Oloni on hyva,Soin eilen terveellista ruokaa
123098,4,3,3,4,3,4,4,4,4,3
9253,4,5,4,4,5,4,3,3,3,3
222426,4,1,3,3,5,4,3,4,4,4
145789,4,4,3,4,5,3,4,4,2,4
21084,4,2,4,5,3,1,3,4,4,2
7968,5,4,4,4,4,4,5,3,4,4
2905202010,4,2,4,5,4,2,3,4,3,3
29,3,3,4,3,4,3,4,4,4,2
1500,3,2,3,3,4,4,3,3,3,3
369369,3,3,3,3,3,4,3,4,4,3
290520,3,4,4,4,,,1,3,4,2
907,1,1,1,2,4,4,,,1,3
34725,4,4,3,4,4,3,,,,
7469,2,2,,,,,,,,
704,,,,,,,3,4,,
